firstname,lastname,player_name,email,password,isPremium
Britni,Eben,BritniEbe,Britni.Eben@gmail.com,EJJj1rXwAMs,False
Wilma,Fillbert,WilmaFil,Wilma.Fillbert@gmail.com,bf4zm1fG7XMkv,True
Jenilee,Stefa,JenileeSte,Jenilee.Stefa@gmail.com,IbEBPBa,False
Fawne,Parsaye,FawnePar,Fawne.Parsaye@gmail.com,YBCNqWEcMak,False
Di,Bandeen,DiBan,Di.Bandeen@gmail.com,RrUY LRI-TKIQJ,False
Roslyn,Wyn,RoslynWyn,Roslyn.Wyn@gmail.com,RIaUYc4B,False
Selma,Ellerey,SelmaEll,Selma.Ellerey@gmail.com,zpMvutai-Ek.Oh,True
Roseline,Gunn,RoselineGun,Roseline.Gunn@gmail.com,jEefTK dmNJzc,True
Deirdre,Sacken,DeirdreSac,Deirdre.Sacken@gmail.com,ku7a.GAqKrA,False
Giustina,Delacourt,GiustinaDel,Giustina.Delacourt@gmail.com,vDaQIy ztjVo,True
Mara,Lucienne,MaraLuc,Mara.Lucienne@gmail.com,a- 8piJK0KpZY--,True
Coral,Llovera,CoralLlo,Coral.Llovera@gmail.com,KpupJ_ZHSZcJ,False
Blake,Rhu,BlakeRhu,Blake.Rhu@gmail.com,usGxxOLK pthQ,True
Brooks,Graig,BrooksGra,Brooks.Graig@gmail.com,9u.k_bziKy,False
Laurene,Valoniah,LaureneVal,Laurene.Valoniah@gmail.com,luGWdmnOUiyw6,False
Lorenza,Hebner,LorenzaHeb,Lorenza.Hebner@gmail.com,_._DsCggrZ,False
Hettie,Faust,HettieFau,Hettie.Faust@gmail.com,BHqU_XYmjr,False
Edyth,Cadmar,EdythCad,Edyth.Cadmar@gmail.com,a -8UbJ2SySenP,False
Lolita,Auberbach,LolitaAub,Lolita.Auberbach@gmail.com,"3c_XiSypw ",False
Ardeen,Brackely,ArdeenBra,Ardeen.Brackely@gmail.com,yyhOuyzVQ._WbB,False
Jessy,Brodench,JessyBro,Jessy.Brodench@gmail.com,PKqFM,False
Amii,Weinreb,AmiiWei,Amii.Weinreb@gmail.com,9DGOvIhzO1.,True
Gale,Norrie,GaleNor,Gale.Norrie@gmail.com,aBJvxL,False
Gratia,Ailyn,GratiaAil,Gratia.Ailyn@gmail.com," 3-eR_dww23wrO",True
Amelia,Jillane,AmeliaJil,Amelia.Jillane@gmail.com,djZXZVw,False
Lynnea,Woodberry,LynneaWoo,Lynnea.Woodberry@gmail.com,bXa 8m8kNh,True
Carilyn,Jacinda,CarilynJac,Carilyn.Jacinda@gmail.com,kI2rXviDN pvuQT,True
Kaja,Adlare,KajaAdl,Kaja.Adlare@gmail.com,vwt Ju.lL,False
Sabina,Hilbert,SabinaHil,Sabina.Hilbert@gmail.com,HN.5yBDPZ,True
Ariela,Klemperer,ArielaKle,Ariela.Klemperer@gmail.com,.kDpF1vl,True
Carree,Maribeth,CarreeMar,Carree.Maribeth@gmail.com,m5dc76-MR,False
Kassey,Brotherson,KasseyBro,Kassey.Brotherson@gmail.com,N8klWfw,False
Ayn,Oriana,AynOri,Ayn.Oriana@gmail.com,VX1LegMCaH,True
Atlanta,My,AtlantaMy,Atlanta.My@gmail.com,EnVQc W3l,False
Christian,Lalitta,ChristianLal,Christian.Lalitta@gmail.com,0qFZ3oqwfUJkS,True
Vonny,Kylander,VonnyKyl,Vonny.Kylander@gmail.com,c-dKYIrg8tUexFQ,False
Ginnie,Faria,GinnieFar,Ginnie.Faria@gmail.com,LD37 A-lJUIU,True
Brynna,Keelia,BrynnaKee,Brynna.Keelia@gmail.com,Co99l,True
Benita,Percy,BenitaPer,Benita.Percy@gmail.com,N1Y7yuOAwr H,True
Dorothy,Seumas,DorothySeu,Dorothy.Seumas@gmail.com,cy F3bYj..EjMvW,False
Maud,Hieronymus,MaudHie,Maud.Hieronymus@gmail.com,"eURSKf_ZAJAe ",False
Diena,Barrus,DienaBar,Diena.Barrus@gmail.com,b__9CzgjAAGNcY,False
Sybille,Rudolph,SybilleRud,Sybille.Rudolph@gmail.com,biDJ-eQ5pLtWS,True
Tracey,Havens,TraceyHav,Tracey.Havens@gmail.com,UfqB9.SWNN4hR,True
Valera,Colleen,ValeraCol,Valera.Colleen@gmail.com,fWJI2l-,False
Clementine,Henebry,ClementineHen,Clementine.Henebry@gmail.com,z6NQm.d,False
Hannis,Abbot,HannisAbb,Hannis.Abbot@gmail.com,Q eDoj.TOq,False
Grier,Jorgan,GrierJor,Grier.Jorgan@gmail.com,n3qCyE,True
Philis,Jena,PhilisJen,Philis.Jena@gmail.com,xeh3Hl9IC laqUY,False
Brietta,Land,BriettaLan,Brietta.Land@gmail.com,kNkKexZNauEY,False
Mildrid,Gladstone,MildridGla,Mildrid.Gladstone@gmail.com,fupyhAhppu-FL,True
Elena,Peg,ElenaPeg,Elena.Peg@gmail.com,nYGDwN7,True
Nanete,Bashemeth,NaneteBas,Nanete.Bashemeth@gmail.com,JKfavBwTgSfFBQ,False
Meriel,Zachary,MerielZac,Meriel.Zachary@gmail.com,IZhFcu,False
Joelly,Friede,JoellyFri,Joelly.Friede@gmail.com,3iSpmjr,True
Paule,Marisa,PauleMar,Paule.Marisa@gmail.com,WrKA8p0OGy wD,False
Basia,Guthrie,BasiaGut,Basia.Guthrie@gmail.com,uEXMC4p5vJA,False
Andree,Norvol,AndreeNor,Andree.Norvol@gmail.com," K06.N",False
Shauna,Dash,ShaunaDas,Shauna.Dash@gmail.com," Mn5FiMMrgJyuW9",False
Dawn,Pattin,DawnPat,Dawn.Pattin@gmail.com,"ouwq0 ",False
Consuela,Loleta,ConsuelaLol,Consuela.Loleta@gmail.com,9AcBw,False
Randa,Syd,RandaSyd,Randa.Syd@gmail.com,mHyIin,False
Eadie,Urias,EadieUri,Eadie.Urias@gmail.com,u-sR.1mV,False
Di,Maples,DiMap,Di.Maples@gmail.com,"YsM  ",True
Addia,Corilla,AddiaCor,Addia.Corilla@gmail.com,26ogs,True
Maurene,Rudolph,MaureneRud,Maurene.Rudolph@gmail.com,rCn aSubxKE nO.,True
Lynea,Jobi,LyneaJob,Lynea.Jobi@gmail.com,OusUw2joI,False
Helsa,Sekofski,HelsaSek,Helsa.Sekofski@gmail.com,XaF1zs3,True
Talya,Hamil,TalyaHam,Talya.Hamil@gmail.com,cT0GxAzQY,False
Candi,Abbot,CandiAbb,Candi.Abbot@gmail.com,fb3UN,True
Allis,Maryanne,AllisMar,Allis.Maryanne@gmail.com,"h50Y3oBmxH ",True
Margalo,Hebner,MargaloHeb,Margalo.Hebner@gmail.com,CtycotENR.WL,True
Marleah,Henebry,MarleahHen,Marleah.Henebry@gmail.com,g77bsOTNQA2.LLF,False
Alexine,Pacorro,AlexinePac,Alexine.Pacorro@gmail.com,W Rj-Cuo,True
Melodie,Martsen,MelodieMar,Melodie.Martsen@gmail.com,v-yAwn4,False
Gwyneth,Jefferey,GwynethJef,Gwyneth.Jefferey@gmail.com,8n9IoY.1N9NOHP,False
Ethel,Goth,EthelGot,Ethel.Goth@gmail.com,4YbiQ0BVf,True
Ricky,Hepsibah,RickyHep,Ricky.Hepsibah@gmail.com,pIkG V5f,True
Hallie,Soneson,HallieSon,Hallie.Soneson@gmail.com,bVvmVLgQUP,False
Laurene,Stanwood,LaureneSta,Laurene.Stanwood@gmail.com,_0NrTsXKood3,False
Genevra,Macey,GenevraMac,Genevra.Macey@gmail.com,IYLA VPloi,False
Paule,Gordon,PauleGor,Paule.Gordon@gmail.com,frIB1B Eq_UGd5Y,True
Brietta,Hubert,BriettaHub,Brietta.Hubert@gmail.com,viludPV_aoE2mpV,False
Deloria,Sothena,DeloriaSot,Deloria.Sothena@gmail.com,oFzCkVGVSccz,True
Lynde,Mandler,LyndeMan,Lynde.Mandler@gmail.com,fkHTG,True
Di,Nisbet,DiNis,Di.Nisbet@gmail.com,WNNBi_mqm,True
Darci,Juan,DarciJua,Darci.Juan@gmail.com,apAA LcCyv,True
Rori,Jerald,RoriJer,Rori.Jerald@gmail.com,nUdxMyO,True
Kirstin,Capello,KirstinCap,Kirstin.Capello@gmail.com,GNgVY,False
Jemie,Keelia,JemieKee,Jemie.Keelia@gmail.com,dxTGP,True
Ezmeralda,Pyle,EzmeraldaPyl,Ezmeralda.Pyle@gmail.com,dG3y_HpNh0c.bF5,False
Maridel,Lane,MaridelLan,Maridel.Lane@gmail.com,"cs.ZQ4-vq ",False
Vonny,Juan,VonnyJua,Vonny.Juan@gmail.com,ErWAWIT,True
Sue,Kress,SueKre,Sue.Kress@gmail.com,uhDCx7J_a_,False
Binny,Skurnik,BinnySku,Binny.Skurnik@gmail.com,TC C5Ie 7LOo,True
Brianna,Junie,BriannaJun,Brianna.Junie@gmail.com,7GZW-0HhNG5,True
Georgina,Tound,GeorginaTou,Georgina.Tound@gmail.com,2OFMa0GSdOanaY,False
Dacia,Ellord,DaciaEll,Dacia.Ellord@gmail.com," rrPk-U",False
Corry,Jehu,CorryJeh,Corry.Jehu@gmail.com,pIdDlA.,True
Ericka,Andrel,ErickaAnd,Ericka.Andrel@gmail.com,Zcb7tALvADko,False
Chandra,Leifeste,ChandraLei,Chandra.Leifeste@gmail.com," YXH5naqP ",False
Hope,Merna,HopeMer,Hope.Merna@gmail.com,c8BYbPzNfBKe6R,True
Tori,Candy,ToriCan,Tori.Candy@gmail.com,7kuf2z7 G5Vu7q,False
Roslyn,Lay,RoslynLay,Roslyn.Lay@gmail.com," li9a-4Yr0ABwj",False
Fanny,Tippets,FannyTip,Fanny.Tippets@gmail.com,89CUn-EC-_Mh,False
Rosene,Braun,RoseneBra,Rosene.Braun@gmail.com,5NiVUXoYA2,True
Carol-Jean,Thornburg,Carol-JeanTho,Carol-Jean.Thornburg@gmail.com,jEDawM,False
Ellette,Earlie,ElletteEar,Ellette.Earlie@gmail.com,ZVdkxlEKiIDa4,False
Therine,Vary,TherineVar,Therine.Vary@gmail.com,2gF5QR345,False
Valera,Pattin,ValeraPat,Valera.Pattin@gmail.com,4sqkbeplAY_g,True
Lita,Dex,LitaDex,Lita.Dex@gmail.com,sSd4EM,False
Suzette,Cleo,SuzetteCle,Suzette.Cleo@gmail.com,g6SO32ZyZkVEsJ,False
Bobinette,Helfand,BobinetteHel,Bobinette.Helfand@gmail.com,q0ds13Yd_G,True
Belva,Tound,BelvaTou,Belva.Tound@gmail.com,Bhd5g8x8,True
Rosabelle,Slifka,RosabelleSli,Rosabelle.Slifka@gmail.com,YVKn6o s-pK54fU,False
Frieda,Bebe,FriedaBeb,Frieda.Bebe@gmail.com,ODvWpf,False
Vinita,Edvard,VinitaEdv,Vinita.Edvard@gmail.com,_oSLubKE7-N do,False
Alisha,Garlinda,AlishaGar,Alisha.Garlinda@gmail.com,FrUODRdkLZ,False
Kristina,Faust,KristinaFau,Kristina.Faust@gmail.com,"Z1lwZvYq ",False
Nicoli,Soneson,NicoliSon,Nicoli.Soneson@gmail.com,mN3kfF,False
Laure,Carolin,LaureCar,Laure.Carolin@gmail.com,3AC_mi9eJh,True
Pearline,Velick,PearlineVel,Pearline.Velick@gmail.com,woVmgN9rUx.,False
Courtnay,Melan,CourtnayMel,Courtnay.Melan@gmail.com,3POvYKAlLS,False
Cyb,Gillan,CybGil,Cyb.Gillan@gmail.com," iTwj",False
Dagmar,Connelly,DagmarCon,Dagmar.Connelly@gmail.com,u9OyL1lw,True
Claudina,Pelagias,ClaudinaPel,Claudina.Pelagias@gmail.com,dxPCMagkgUs,False
Heida,Evangelia,HeidaEva,Heida.Evangelia@gmail.com,MsZiz rQ,False
Starla,Ruvolo,StarlaRuv,Starla.Ruvolo@gmail.com,9PP va0s,False
Amalie,Damarra,AmalieDam,Amalie.Damarra@gmail.com,7rWAM_yW,False
Emma,Joachim,EmmaJoa,Emma.Joachim@gmail.com,VAZODeA t,True
Zondra,Douglass,ZondraDou,Zondra.Douglass@gmail.com,p4GRGx8E,False
Jacenta,Faro,JacentaFar,Jacenta.Faro@gmail.com,-DwWhu,False
Morganica,Ovid,MorganicaOvi,Morganica.Ovid@gmail.com,"rWhcFrP. ",True
Wendi,Corabella,WendiCor,Wendi.Corabella@gmail.com,gSV  7--rLT,True
Edyth,Gerge,EdythGer,Edyth.Gerge@gmail.com," THm_YmI2 ",False
Hallie,Kolnick,HallieKol,Hallie.Kolnick@gmail.com,LJo3Z.FT C,True
Sophia,Randene,SophiaRan,Sophia.Randene@gmail.com,29Ggu,True
Amalie,Karna,AmalieKar,Amalie.Karna@gmail.com,-uA-q.NIGz8,True
Roxane,Artie,RoxaneArt,Roxane.Artie@gmail.com,UugNX3dfZweAu,True
Kimmy,Elsinore,KimmyEls,Kimmy.Elsinore@gmail.com,JU8pcN,False
Lorne,Ball,LorneBal,Lorne.Ball@gmail.com,9 9Ys2d,True
Brianna,Kiyoshi,BriannaKiy,Brianna.Kiyoshi@gmail.com,Sw2WH85Jzu8s,True
Allyce,Pattin,AllycePat,Allyce.Pattin@gmail.com,H 1Rg5su,True
Tressa,McGrody,TressaMcG,Tressa.McGrody@gmail.com,PDmDWamy9Cee,True
Augustine,Ariella,AugustineAri,Augustine.Ariella@gmail.com,-OXiICSNUGB_eJA,True
Dede,Erskine,DedeErs,Dede.Erskine@gmail.com,ok Zx1.YLj 2Wy,False
Randa,Chrystel,RandaChr,Randa.Chrystel@gmail.com,-KUQ-Y7Xj9xi4wJ,False
Lilith,Muriel,LilithMur,Lilith.Muriel@gmail.com,zjrWtE0KarDAz,True
Karolina,Schroth,KarolinaSch,Karolina.Schroth@gmail.com,ZE3byulUxy1pZ2,False
Viki,Bonucci,VikiBon,Viki.Bonucci@gmail.com,6wbXgz8tgmm,True
Glynnis,Lipson,GlynnisLip,Glynnis.Lipson@gmail.com,"2 i5 ",True
Leeanne,Harned,LeeanneHar,Leeanne.Harned@gmail.com,"u35X1vC70WHLn ",False
Mady,Zitvaa,MadyZit,Mady.Zitvaa@gmail.com,qxb2vj4,False
Rayna,Lumbard,RaynaLum,Rayna.Lumbard@gmail.com,X-ElnL0VKk,False
Sabina,Vittoria,SabinaVit,Sabina.Vittoria@gmail.com,_XFCx-yh94Va,True
Louella,Faro,LouellaFar,Louella.Faro@gmail.com,vnZ9w dUY.eB,True
Annecorinne,Taima,AnnecorinneTai,Annecorinne.Taima@gmail.com,1Kr5D k,False
Melina,Sharl,MelinaSha,Melina.Sharl@gmail.com,NjvqIZ12Ww,False
Juliane,Ulphia,JulianeUlp,Juliane.Ulphia@gmail.com,t6a  5TT-DrW,False
Dorice,Firmin,DoriceFir,Dorice.Firmin@gmail.com,O2 gH.QN6n,False
Leona,Screens,LeonaScr,Leona.Screens@gmail.com,OQMf7Yg7eG,True
Noelle,Eldrid,NoelleEld,Noelle.Eldrid@gmail.com,FNO.MVRVur6O.F,False
Miquela,Kauppi,MiquelaKau,Miquela.Kauppi@gmail.com,KG.UvQ- DgLry1v,True
Vivia,Konyn,ViviaKon,Vivia.Konyn@gmail.com,Zhw.Q.KASydZ1a,True
Joane,Wenoa,JoaneWen,Joane.Wenoa@gmail.com,7yaFr,False
Kara-Lynn,Abbot,Kara-LynnAbb,Kara-Lynn.Abbot@gmail.com,wqMUHIb,False
Kial,Clarissa,KialCla,Kial.Clarissa@gmail.com,2dj 8c2fO,False
Candy,Rad,CandyRad,Candy.Rad@gmail.com,Wz-yNfDm,True
Mary,Ade,MaryAde,Mary.Ade@gmail.com,Ksryryc v,True
Livvyy,Gerge,LivvyyGer,Livvyy.Gerge@gmail.com,.N .jAWy2x1,False
Jasmina,Muriel,JasminaMur,Jasmina.Muriel@gmail.com,xXfWWPU,False
Kathi,Giule,KathiGiu,Kathi.Giule@gmail.com,KPP0kSRXS y-J,False
Lucille,Mike,LucilleMik,Lucille.Mike@gmail.com,gCX0R43Go1BbdwP,True
Briney,Holtz,BrineyHol,Briney.Holtz@gmail.com,OXvWTbrCa5MD7_M,True
Alyssa,Lissi,AlyssaLis,Alyssa.Lissi@gmail.com,-6OFvv-BV8J,False
Letizia,Annice,LetiziaAnn,Letizia.Annice@gmail.com,7DjhN,True
Andree,Darian,AndreeDar,Andree.Darian@gmail.com,dgzqtSxv27w,True
Andree,Wildermuth,AndreeWil,Andree.Wildermuth@gmail.com,qJkqGGT3J7,True
Blake,Argus,BlakeArg,Blake.Argus@gmail.com,8hMzygp,True
Michaelina,Emanuel,MichaelinaEma,Michaelina.Emanuel@gmail.com,"exTsy1.3 ",False
Lisette,Presber,LisettePre,Lisette.Presber@gmail.com,pTN9zGP,False
Betta,Neva,BettaNev,Betta.Neva@gmail.com,h-9EfHxAu,True
Ashlee,Phaidra,AshleePha,Ashlee.Phaidra@gmail.com,olFubFG2PN,False
Neila,Lattie,NeilaLat,Neila.Lattie@gmail.com,QYI4_gnde,False
Pearline,Lalitta,PearlineLal,Pearline.Lalitta@gmail.com,FIKQdF TKuOIJhh,True
Kary,Bibi,KaryBib,Kary.Bibi@gmail.com,iS -w7UTP2nGt5,False
Hollie,Eno,HollieEno,Hollie.Eno@gmail.com,KJFtOHK,True
Gratia,Roarke,GratiaRoa,Gratia.Roarke@gmail.com,42rEy5L6,True
Deirdre,Aprile,DeirdreApr,Deirdre.Aprile@gmail.com,qWv6IpUdTi,False
Dari,Wildermuth,DariWil,Dari.Wildermuth@gmail.com,SGg50,True
Shandie,Jary,ShandieJar,Shandie.Jary@gmail.com,Cu0QWxRDH,True
Donnie,Oster,DonnieOst,Donnie.Oster@gmail.com,sjD6Vl,True
Kaja,Ammann,KajaAmm,Kaja.Ammann@gmail.com,G3wf0,False
Maridel,Rebecka,MaridelReb,Maridel.Rebecka@gmail.com,XzvY IU Ji,True
